x,y,range,pos_x,pos_y,lat,lon
2271,917,62,30.39829635620117,-56.95610046386719,-22.91738010177172,-43.16627276459539
1059,1366,12,9.58401584625244,-8.492143630981445,-22.91714722774498,-43.16681498832367
246,1102,23,22.33041954040528,-12.096195220947266,-22.91728983687112,-43.16677466552673
1417,1155,20,13.786457061767578,-15.110109329223633,-22.917194245435912,-43.16674094529728
144,846,183,175.63150024414062,-89.15708923339844,-22.919004997765093,-43.16591249396696
2712,1544,9,3.705587148666382,-9.531352043151855,-22.91708145879557,-43.16680336146741
1227,1170,19,14.065718650817873,-13.767640113830566,-22.91719736986631,-43.16675596509159
1820,1262,15,9.104452133178713,-12.749621391296388,-22.917141862297303,-43.16676735487367
1986,1048,29,16.021677017211914,-24.90627098083496,-22.917219253490902,-43.16663134402573
2341,1401,11,5.578654766082764,-10.962909698486328,-22.91710241502312,-43.16678734493512
1499,1505,10,6.676076412200928,-7.685730457305908,-22.91711469317982,-43.166824010623664
2746,943,50,19.049654006958008,-50.30830001831055,-22.91725313105848,-43.166347141418456
1542,1081,25,16.765350341796875,-19.80712890625,-22.91722757384585,-43.166688394172006
1677,1013,34,21.207977294921875,-27.194896697998047,-22.91727727877932,-43.16660573845717
2481,1170,19,8.47780704498291,-18.37581825256348,-22.91713485127596,-43.166704407940784
1102,1373,12,9.34807300567627,-8.496711730957031,-22.917144587972764,-43.16681493721492
2788,1141,20,7.744682788848877,-21.140491485595703,-22.91712664894595,-43.16667347626443
1755,832,295,176.92135620117188,-237.98670959472656,-22.91901942891252,-43.16424736059975
497,1138,21,18.775535583496094,-11.883953094482422,-22.91725006417077,-43.16677704013097
1698,966,44,27.23723793029785,-35.37765121459961,-22.91734473526438,-43.16651418828357
1580,851,161,103.13450622558594,-124.67605590820312,-22.91819388796404,-43.165515101186976
1304,1201,18,12.64256477355957,-12.953664779663086,-22.917181447357056,-43.16676507199844
1230,1115,23,16.57538604736328,-16.253021240234375,-22.917225448490125,-43.16672815818706
354,1087,25,22.946304321289062,-13.29947280883789,-22.917296727504155,-43.16676120303414
959,1191,18,14.360958099365234,-11.992775917053224,-22.917200673059963,-43.16677582260106
